Tienda	Mes	Presupuesto	Costo	Unidades	Publicidad	Clientes
A	Enero	5000	3000	200	500	180
B	Enero	4000	2500	150	400	120
A	Febrero	5100	3100	210	520	185
B	Febrero	4100	2550	160	410	125
A	Marzo	5200	3200	220	540	190
B	Marzo	4200	2600	170	420	130
A	Abril	5300	3300	230	560	195
B	Abril	4300	2650	180	430	135
A	Mayo	5400	3400	240	580	200
B	Mayo	4400	2700	190	440	140
A	Junio	5500	3500	250	600	205
B	Junio	4500	2750	200	450	145
A	Julio	5600	3600	260	620	210
B	Julio	4600	2800	210	460	150
A	Agosto	5700	3700	270	640	215
B	Agosto	4700	2850	220	470	155
A	Septiembre	5800	3800	280	660	220
B	Septiembre	4800	2900	230	480	160
A	Octubre	5900	3900	290	680	225
B	Octubre	4900	2950	240	490	165
A	Noviembre	6000	4000	300	700	230
B	Noviembre	5000	3000	250	500	170
A	Diciembre	6100	4100	310	720	235
B	Diciembre	5100	3050	260	510	175
